id,host_id,neighbourhood_cleansed,room_type,minimum_nights,review_scores_rating
1528996,8156084,BUENOS AIRES - VENEZIA,Entire home/apt,2,5.0
1891172,7122099,STADERA,Private room,3,4.84
1902250,1616668,MAGENTA - S. VITTORE,Entire home/apt,2,4.67
1530211,8162183,BOVISA,Entire home/apt,45,4.89
1590485,5544207,BUENOS AIRES - VENEZIA,Entire home/apt,1,4.88
1904148,9828178,BUENOS AIRES - VENEZIA,Entire home/apt,2,5.0
2103991,5517772,ISOLA,Entire home/apt,3,4.8
1912740,9917329,VIGENTINA,Entire home/apt,3,4.95
2106997,10741913,WASHINGTON,Entire home/apt,6,4.53
1913232,3181850,ISOLA,Entire home/apt,2,4.88
2126990,10849033,VILLAPIZZONE,Entire home/apt,3,4.68
1930711,8025895,VIALE MONZA,Entire home/apt,2,4.88
2137508,10908423,DUOMO,Entire home/apt,1,4.89
1952588,4513503,S. CRISTOFORO,Entire home/apt,2,4.48
2143192,11031444,CITTA' STUDI,Entire home/apt,2,4.82
1962869,10142315,PORTA ROMANA,Entire home/apt,3,4.84
2163809,11040795,PORTA ROMANA,Entire home/apt,4,4.69
1974301,5575271,XXII MARZO,Entire home/apt,2,4.88
2174955,4571936,S. SIRO,Entire home/apt,1,5.0
1979015,10213884,UMBRIA - MOLISE,Entire home/apt,2,5.0
2182896,11131329,VILLAPIZZONE,Entire home/apt,2,4.85
1988879,10254743,DUOMO,Entire home/apt,2,4.7
2186449,6633643,GARIBALDI REPUBBLICA,Private room,3,5.0
2001515,10095198,ISOLA,Private room,2,4.81
2192436,11180301,TORTONA,Entire home/apt,7,4.84
2002197,369631,GALLARATESE,Entire home/apt,1,4.85
2198281,11212818,ROGOREDO,Entire home/apt,1,4.67
2013384,10357889,VIGENTINA,Entire home/apt,2,
2200791,3082506,BUENOS AIRES - VENEZIA,Entire home/apt,4,4.84
2019052,10381109,LODI - CORVETTO,Entire home/apt,3,4.62
2207397,1162539,NAVIGLI,Entire home/apt,15,4.78
2019554,2452841,PORTA ROMANA,Entire home/apt,1,4.33
2207481,11260725,DERGANO,Private room,3,4.85
2211908,11283646,ISOLA,Entire home/apt,1,4.86
